15
SUP01, Supermart, Kuils River, Brown bread, R17.44, 48
BHE01, Bread Head, South Field, Samp, R18.84, 54
PNA01, Pie 'n Apple, Vredehoek, Samp, R19.04, 32
CPO01, Couch Potatoes, Green Point, Samp, R45.05, 80
BBR01, Breaking Bread, Simon's Town, Cream, R27.20, 33
SHO01, Shopleft, Belhar, Orange juice, R30.23, 16
CHE01, Checkered, Ndabeni, Creamed cheese, R39.96, 60
PNA01, Pie 'n Apple, Higgovale, Roti, R24.88, 95
WMS01, Walter Melon's, Plattekloof, Cheddar cheese, R17.23, 75
BBR01, Breaking Bread, Mowbray, Brie, R43.30, 26
WMS01, Walter Melon's, Marina da Gama, Vetkoek, R46.71, 65
CHE01, Checkered, Devil's Peak Estate, Brie, R41.61, 71
TTG01, Thyme To Go, Macassar, Cottage cheese, R7.79, 58
BTW01, Buy The Way, Phillipi, Boerewors, R29.23, 79
TTG01, Thyme To Go, Three Anchor Bay, Cheddar cheese, R23.42, 54
