20
SHO01, Shopleft, Lansdowne, Raisins, R13.99, 19
ISC01, Ice Scream, Bishopscourt, Raisins, R23.09, 10
PNA01, Pie 'n Apple, Higgovale, Raisins, R46.35, 74
BHE01, Bread Head, Langa, Raisins, R16.70, 94
ISC01, Ice Scream, Nyanga, Raisins, R14.96, 71
RSV01, Reg's Veg, Edgemead, Raisins, R1.79, 37
FOO01, Foodies, Parow, Raisins, R25.58, 23
ISC01, Ice Scream, Retreat, Raisins, R36.56, 85
SPA01, Sparse, Ndabeni, Raisins, R41.57, 69
WMS01, Walter Melon's, Lotus River, Raisins, R39.64, 62
BRO01, Beet Route, Mowbray, Raisins, R11.13, 63
PNA01, Pie 'n Apple, Salt River, Raisins, R40.60, 80
BBB01, Buy Buy Baby, Lavender Hill, Raisins, R5.16, 57
BNL01, Buy 'n Large, Gardens, Raisins, R9.94, 83
FOO01, Foodies, Gardens, Raisins, R31.65, 59
BTW01, Buy The Way, South Field, Raisins, R9.61, 21
ECL01, Egg Cellent Ltd, Rosebank, Raisins, R47.79, 80
BHE01, Bread Head, Steenberg, Raisins, R12.43, 97
BBR01, Breaking Bread, Rondebosch East, Raisins, R30.51, 93
BBB01, Buy Buy Baby, South Field, Raisins, R9.09, 48
