10
SHO01, Shopleft, Langa, Coconut milk, R19.05, 8
SPA01, Sparse, University Estate, Apple juice, R5.35, 40
PYE01, Past Your Eyes, Kuils River, Red lentils, R19.70, 58
SUP01, Supermart, Muizenberg, Creamed cheese, R43.80, 57
TSS01, The Shop Stop, Rondebosch, Minced meat, R6.03, 81
PNA01, Pie 'n Apple, Gordon's Bay, Crystalized ginger, R27.54, 15
WMS01, Walter Melon's, Heathfield, Long grain rice, R25.41, 96
SPA01, Sparse, Brooklyn, Lettuce, R35.60, 16
BRO01, Beet Route, Edgemead, Crystalized ginger, R35.60, 13
BNL01, Buy 'n Large, Elsie's River, Apples, R19.16, 71
