10
BTW01, Buy The Way, South Field, Brie, R9.61, 21
PNA01, Pie 'n Apple, Salt River, Peanuts, R40.60, 80
BBB01, Buy Buy Baby, Lavender Hill, Coffee, R5.16, 57
BNL01, Buy 'n Large, Gardens, Boerewors, R9.94, 83
FOO01, Foodies, Gardens, Potatoes, R31.65, 59
BRO01, Beet Route, Mowbray, Brie, R11.13, 63
ECL01, Egg Cellent Ltd, Rosebank, Cream, R47.79, 80
BHE01, Bread Head, Steenberg, Butternut, R12.43, 97
BBR01, Breaking Bread, Rondebosch East, Ginger snaps, R30.51, 93
BBB01, Buy Buy Baby, South Field, Bananas, R9.09, 48
