10
TTG01, Thyme To Go, Tamboerskloof, Brown bread, R18.00, 50
CHE01, Checkered, Kraaifontein, Basmati Rice, R1.89, 56
PYE01, Past Your Eyes, Strandfontein, Rice, R29.42, 10
TTG01, Thyme To Go, Pelican Park, Semolina, R22.29, 44
SUP01, Supermart, Belhar, Boerewors, R6.97, 93
SUP01, Supermart, Bakoven, Noodles, R10.20, 6
BTW01, Buy The Way, Kenwyn, Goats cheese, R10.58, 30
BRO01, Beet Route, Lavender Hill, Coffee, R44.80, 23
SUP01, Supermart, Marina da Gama, Roti, R1.75, 24
SUP01, Supermart, Kuils River, Brown bread, R17.44, 60
